id_region,nombre_region,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24
1,Tarapacá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,6.0,3.0,8.0,6.0,10.0,0.0,4.0,7.0,8.0,9.0,3.0,11.0,10.0,14.0,6.0,9.0,13.0,8.0,5.0,14.0,15.0,2.0,12.0,60.0,23.0,27.0,17.0,78.0,42.0,26.0,35.0,27.0,31.0,37.0,67.0,97.0,66.0,130.0,81.0,53.0,30.0,107.0,147.0,78.0,93.0,66.0,107.0,74.0,146.0,136.0,157.0,111.0,165.0,68.0,88.0,128.0,155.0,129.0,156.0,142.0,61.0,63.0,60.0,83.0,39.0,85.0,27.0,89.0,52.0,124.0,72.0,85.0,72.0,51.0,54.0,93.0,63.0,52.0,52.0,76.0,49.0,69.0,54.0
2,Antofagasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,6.0,1.0,1.0,4.0,2.0,8.0,0.0,4.0,8.0,7.0,1.0,5.0,8.0,1.0,8.0,15.0,18.0,7.0,21.0,11.0,6.0,21.0,16.0,19.0,15.0,23.0,14.0,28.0,35.0,14.0,26.0,25.0,52.0,14.0,24.0,33.0,32.0,43.0,90.0,61.0,20.0,51.0,44.0,40.0,28.0,24.0,31.0,36.0,95.0,107.0,61.0,54.0,98.0,76.0,84.0,59.0,83.0,47.0,63.0,56.0,50.0,68.0,48.0,74.0,111.0,70.0,111.0,81.0,75.0,64.0,67.0,146.0,62.0,109.0,121.0,91.0,140.0,154.0,85.0,162.0,132.0,128.0,161.0,134.0,150.0,85.0,83.0,106.0,134.0,102.0,125.0,112.0,63.0,74.0,71.0,135.0,85.0,73.0,135.0
3,Atacama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,5.0,6.0,0.0,7.0,1.0,0.0,16.0,8.0,3.0,8.0,2.0,7.0,1.0,29.0,7.0,9.0,1.0,5.0,1.0,3.0,3.0,3.0,8.0,1.0,5.0,5.0,7.0,7.0,0.0,3.0,3.0,9.0,5.0,5.0,8.0,3.0,14.0,4.0,6.0,16.0,11.0,12.0,25.0,33.0,99.0,133.0,34.0,167.0,60.0,129.0,138.0,13.0,304.0,130.0,110.0,87.0,117.0,125.0,133.0,111.0,127.0,63.0,43.0,70.0,102.0,67.0,103.0
4,Coquimbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,9.0,1.0,2.0,4.0,1.0,9.0,6.0,1.0,1.0,4.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,10.0,3.0,6.0,0.0,3.0,11.0,18.0,6.0,5.0,8.0,5.0,12.0,15.0,7.0,7.0,18.0,27.0,24.0,5.0,13.0,13.0,29.0,15.0,46.0,71.0,27.0,55.0,60.0,31.0,40.0,19.0,31.0,54.0,60.0,66.0,92.0,133.0,128.0,82.0,108.0,81.0,129.0,114.0,95.0,146.0,134.0,101.0,81.0,146.0,111.0,175.0,148.0,101.0,119.0,94.0,109.0,105.0,157.0,197.0,132.0
5,Valparaíso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,3.0,3.0,6.0,7.0,12.0,5.0,22.0,9.0,28.0,7.0,21.0,20.0,20.0,9.0,6.0,7.0,16.0,11.0,5.0,11.0,7.0,6.0,19.0,12.0,14.0,31.0,15.0,14.0,22.0,7.0,15.0,18.0,8.0,7.0,18.0,6.0,25.0,8.0,33.0,33.0,9.0,46.0,24.0,18.0,31.0,29.0,65.0,47.0,50.0,55.0,37.0,59.0,94.0,90.0,99.0,53.0,109.0,79.0,86.0,131.0,117.0,133.0,96.0,114.0,75.0,150.0,121.0,154.0,112.0,195.0,130.0,181.0,247.0,174.0,248.0,249.0,314.0,282.0,287.0,193.0,123.0,137.0,109.0,190.0,166.0,240.0,170.0,155.0,127.0,145.0,181.0,186.0,183.0,234.0,130.0,111.0,160.0,154.0,190.0,165.0,193.0,172.0
6,O’Higgins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,0.0,2.0,3.0,6.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,17.0,5.0,4.0,7.0,2.0,3.0,7.0,4.0,1.0,11.0,5.0,6.0,5.0,9.0,6.0,16.0,15.0,13.0,21.0,8.0,24.0,47.0,28.0,6.0,37.0,52.0,24.0,13.0,10.0,27.0,26.0,36.0,34.0,66.0,37.0,14.0,40.0,11.0,29.0,28.0,30.0,88.0,36.0,49.0,95.0,72.0,72.0,94.0,86.0,50.0,67.0,102.0,132.0,221.0,100.0,81.0,105.0,116.0,106.0,85.0,62.0,87.0,47.0,67.0,65.0,99.0,82.0,60.0,73.0,125.0
7,Maule,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,10.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,12.0,8.0,9.0,11.0,7.0,8.0,6.0,5.0,0.0,11.0,9.0,3.0,3.0,4.0,3.0,1.0,10.0,15.0,56.0,53.0,26.0,2.0,12.0,12.0,5.0,16.0,1.0,4.0,9.0,21.0,8.0,1.0,1.0,2.0,1.0,2.0,9.0,0.0,6.0,11.0,7.0,9.0,13.0,12.0,19.0,34.0,21.0,11.0,22.0,29.0,38.0,40.0,51.0,51.0,41.0,69.0,61.0,60.0,53.0,54.0,60.0,76.0,41.0,44.0,40.0,214.0,137.0,102.0,135.0,140.0,67.0,102.0,73.0,89.0,61.0,96.0,112.0,119.0,97.0,67.0,64.0,74.0,84.0,99.0,98.0,122.0,70.0,74.0,77.0,123.0,107.0,103.0,99.0,75.0
8,Biobío,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,5.0,11.0,5.0,11.0,27.0,22.0,14.0,26.0,16.0,34.0,16.0,15.0,24.0,35.0,27.0,45.0,18.0,18.0,27.0,29.0,21.0,14.0,16.0,10.0,12.0,16.0,14.0,17.0,19.0,28.0,10.0,10.0,10.0,22.0,17.0,8.0,13.0,7.0,3.0,3.0,10.0,8.0,2.0,22.0,8.0,3.0,12.0,15.0,25.0,28.0,40.0,17.0,33.0,10.0,33.0,20.0,41.0,38.0,25.0,45.0,28.0,52.0,39.0,48.0,43.0,60.0,44.0,44.0,63.0,112.0,101.0,110.0,91.0,91.0,12.0,133.0,86.0,78.0,111.0,105.0,56.0,182.0,145.0,121.0,152.0,179.0,227.0,175.0,211.0,130.0,153.0,87.0,222.0,200.0,158.0,209.0,197.0,115.0,136.0,249.0,246.0,218.0,282.0,260.0
9,Araucanía,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,6.0,12.0,13.0,19.0,15.0,37.0,32.0,34.0,28.0,42.0,55.0,41.0,46.0,43.0,45.0,32.0,53.0,50.0,57.0,20.0,23.0,27.0,36.0,20.0,21.0,10.0,56.0,25.0,37.0,28.0,73.0,47.0,21.0,29.0,42.0,19.0,13.0,20.0,15.0,22.0,20.0,2.0,19.0,14.0,3.0,21.0,10.0,23.0,18.0,15.0,36.0,12.0,16.0,13.0,41.0,28.0,23.0,19.0,33.0,27.0,14.0,35.0,22.0,37.0,34.0,49.0,26.0,33.0,38.0,35.0,71.0,11.0,40.0,30.0,32.0,9.0,106.0,33.0,56.0,33.0,42.0,44.0,27.0,19.0,57.0,30.0,21.0,32.0,40.0,18.0,35.0,38.0,36.0,46.0,29.0,23.0,41.0,30.0,37.0,62.0,48.0,25.0,16.0
10,Los Lagos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,2.0,2.0,3.0,10.0,3.0,8.0,16.0,3.0,30.0,11.0,24.0,23.0,30.0,22.0,31.0,25.0,17.0,10.0,13.0,26.0,15.0,9.0,15.0,8.0,8.0,5.0,5.0,9.0,13.0,4.0,5.0,3.0,8.0,13.0,9.0,6.0,5.0,8.0,4.0,0.0,4.0,6.0,14.0,12.0,4.0,7.0,1.0,16.0,4.0,3.0,11.0,16.0,17.0,2.0,34.0,5.0,8.0,3.0,3.0,5.0,4.0,10.0,27.0,24.0,10.0,9.0,27.0,18.0,10.0,23.0,8.0,38.0,3.0,0.0,31.0,19.0,13.0,42.0,17.0,18.0,7.0,132.0,62.0,123.0,92.0,96.0,137.0,114.0,128.0,72.0,49.0,95.0,75.0,102.0,90.0,123.0,48.0,64.0,57.0,98.0,84.0,70.0,98.0,56.0
