fecha,id_region,nombre_region,id_comuna,nombre_comuna,casos_totales,poblacion,tasa
30-03-2020,15,Arica y Parinacota,15101,Arica,6,247552,2.4237331954498447
30-03-2020,15,Arica y Parinacota,15102,Camarones,0,1233,0.0
30-03-2020,15,Arica y Parinacota,15202,General Lagos,0,810,0.0
30-03-2020,15,Arica y Parinacota,15201,Putre,0,2515,0.0
30-03-2020,1,Tarapaca,1107,Alto Hospicio,0,129999,0.0
30-03-2020,1,Tarapaca,1402,Camiña,0,1375,0.0
30-03-2020,1,Tarapaca,1403,Colchane,0,1583,0.0
30-03-2020,1,Tarapaca,1404,Huara,0,3000,0.0
30-03-2020,1,Tarapaca,1101,Iquique,5,223463,2.2375068803336573
30-03-2020,1,Tarapaca,1405,Pica,0,5958,0.0
30-03-2020,1,Tarapaca,1401,Pozo Almonte,0,17395,0.0
30-03-2020,2,Antofagasta,2101,Antofagasta,29,425725,6.811909096247578
30-03-2020,2,Antofagasta,2201,Calama,3,190336,1.5761600537995966
30-03-2020,2,Antofagasta,2302,María Elena,0,6814,0.0
30-03-2020,2,Antofagasta,2102,Mejillones,0,14776,0.0
30-03-2020,2,Antofagasta,2202,Ollagüe,0,287,0.0
30-03-2020,2,Antofagasta,2203,San Pedro de Atacama,1,10434,9.584052137243626
30-03-2020,2,Antofagasta,2103,Sierra Gorda,0,1746,0.0
30-03-2020,2,Antofagasta,2104,Taltal,0,13657,0.0
30-03-2020,2,Antofagasta,2301,Tocopilla,2,28079,7.122760782079134
30-03-2020,3,Atacama,3302,Alto del Carmen,0,5729,0.0
30-03-2020,3,Atacama,3102,Caldera,0,19426,0.0
30-03-2020,3,Atacama,3201,Chañaral,0,13164,0.0
30-03-2020,3,Atacama,3101,Copiapó,1,171766,0.5821873944785347
30-03-2020,3,Atacama,3202,Diego de Almagro,1,14358,6.964758322886196
30-03-2020,3,Atacama,3303,Freirina,0,7681,0.0
30-03-2020,3,Atacama,3304,Huasco,0,11264,0.0
30-03-2020,3,Atacama,3103,Tierra Amarilla,0,14312,0.0
30-03-2020,3,Atacama,3301,Vallenar,0,57009,0.0
30-03-2020,4,Coquimbo,4103,Andacollo,0,11791,0.0
30-03-2020,4,Coquimbo,4202,Canela,0,9546,0.0
30-03-2020,4,Coquimbo,4302,Combarbalá,0,13884,0.0
30-03-2020,4,Coquimbo,4102,Coquimbo,17,256735,6.621613726215748
30-03-2020,4,Coquimbo,4201,Illapel,0,32801,0.0
30-03-2020,4,Coquimbo,4104,La Higuera,0,4450,0.0
30-03-2020,4,Coquimbo,4101,La Serena,2,249656,0.8011023167879001
30-03-2020,4,Coquimbo,4203,Los Vilos,1,23374,4.278257893385813
30-03-2020,4,Coquimbo,4303,Monte Patria,0,32527,0.0
30-03-2020,4,Coquimbo,4301,Ovalle,4,121269,3.298452201304538
30-03-2020,4,Coquimbo,4105,Paiguano,0,4675,0.0
30-03-2020,4,Coquimbo,4304,Punitaqui,0,12165,0.0
30-03-2020,4,Coquimbo,4305,Río Hurtado,1,4372,22.872827081427264
30-03-2020,4,Coquimbo,4204,Salamanca,2,29110,6.870491240123669
30-03-2020,4,Coquimbo,4106,Vicuña,0,29741,0.0
30-03-2020,5,Valparaiso,5602,Algarrobo,7,15174,46.1315407934625
30-03-2020,5,Valparaiso,5402,Cabildo,0,20663,0.0
30-03-2020,5,Valparaiso,5502,Calera,6,53591,11.195909760967327
30-03-2020,5,Valparaiso,5302,Calle Larga,0,16482,0.0
30-03-2020,5,Valparaiso,5603,Cartagena,0,25357,0.0
30-03-2020,5,Valparaiso,5102,Casablanca,1,29170,3.428179636612959
30-03-2020,5,Valparaiso,5702,Catemu,0,15213,0.0
30-03-2020,5,Valparaiso,5103,Concón,1,45889,2.1791714790036827
30-03-2020,5,Valparaiso,5604,El Quisco,0,17742,0.0
30-03-2020,5,Valparaiso,5605,El Tabo,1,14338,6.974473427256242
30-03-2020,5,Valparaiso,5503,Hijuelas,0,19099,0.0
30-03-2020,5,Valparaiso,5201,Isla de Pascua,1,8277,12.081672103419114
30-03-2020,5,Valparaiso,5104,Juan Fernández,0,1033,0.0
30-03-2020,5,Valparaiso,5504,La Cruz,0,25321,0.0
30-03-2020,5,Valparaiso,5401,La Ligua,2,37739,5.29955748694984
30-03-2020,5,Valparaiso,5802,Limache,2,49931,4.005527628126815
30-03-2020,5,Valparaiso,5703,Llaillay,0,26533,0.0
30-03-2020,5,Valparaiso,5301,Los Andes,2,68093,2.9371594730735904
30-03-2020,5,Valparaiso,5506,Nogales,0,23490,0.0
30-03-2020,5,Valparaiso,5803,Olmué,0,19266,0.0
30-03-2020,5,Valparaiso,5704,Panquehue,0,7633,0.0
30-03-2020,5,Valparaiso,5403,Papudo,0,6201,0.0
30-03-2020,5,Valparaiso,5404,Petorca,0,10558,0.0
30-03-2020,5,Valparaiso,5105,Puchuncaví,0,20071,0.0
30-03-2020,5,Valparaiso,5705,Putaendo,1,17645,5.667327854916407
30-03-2020,5,Valparaiso,5501,Quillota,6,97572,6.149305128520478
30-03-2020,5,Valparaiso,5801,Quilpué,11,167085,6.58347547655385
30-03-2020,5,Valparaiso,5107,Quintero,3,36135,8.302200083022
30-03-2020,5,Valparaiso,5303,Rinconada,0,11263,0.0
30-03-2020,5,Valparaiso,5601,San Antonio,2,96761,2.0669484606401336
30-03-2020,5,Valparaiso,5304,San Esteban,0,20643,0.0
30-03-2020,5,Valparaiso,5701,San Felipe,3,83494,3.593072556111816
30-03-2020,5,Valparaiso,5706,Santa María,0,16367,0.0
30-03-2020,5,Valparaiso,5606,Santo Domingo,2,11934,16.758840288252053
30-03-2020,5,Valparaiso,5101,Valparaíso,16,315732,5.067588967858817
30-03-2020,5,Valparaiso,5804,Villa Alemana,6,139310,4.306941353815232
30-03-2020,5,Valparaiso,5109,Viña del Mar,29,361371,8.0249937045308
30-03-2020,5,Valparaiso,5405,Zapallar,0,7994,0.0
30-03-2020,13,Region Metropolitana,13502,Alhué,0,7405,0.0
30-03-2020,13,Region Metropolitana,13402,Buin,7,109641,6.384472961757006
30-03-2020,13,Region Metropolitana,13403,Calera de Tango,6,28525,21.034180543383
30-03-2020,13,Region Metropolitana,13102,Cerrillos,3,88956,3.3724537973829762
30-03-2020,13,Region Metropolitana,13103,Cerro Navia,19,142465,13.336608991682168
30-03-2020,13,Region Metropolitana,13301,Colina,32,180353,17.742981818988316
30-03-2020,13,Region Metropolitana,13104,Conchalí,14,139195,10.057832537088258
30-03-2020,13,Region Metropolitana,13503,Curacaví,5,36430,13.72495196266813
30-03-2020,13,Region Metropolitana,13105,El Bosque,18,172000,10.465116279069766
30-03-2020,13,Region Metropolitana,13602,El Monte,1,40014,2.49912530614285
30-03-2020,13,Region Metropolitana,13106,Estación Central,16,206792,7.737243220240629
30-03-2020,13,Region Metropolitana,13107,Huechuraba,17,112528,15.10735105929191
30-03-2020,13,Region Metropolitana,13108,Independencia,15,142065,10.558547143912998
30-03-2020,13,Region Metropolitana,13603,Isla de Maipo,0,40171,0.0
30-03-2020,13,Region Metropolitana,13109,La Cisterna,10,100434,9.956787542067428
30-03-2020,13,Region Metropolitana,13110,La Florida,43,402433,10.685008436186893
30-03-2020,13,Region Metropolitana,13111,La Granja,5,122557,4.079734327700581
30-03-2020,13,Region Metropolitana,13112,La Pintana,2,189335,1.0563287295006205
30-03-2020,13,Region Metropolitana,13113,La Reina,24,100252,23.939672026493238
30-03-2020,13,Region Metropolitana,13302,Lampa,10,126898,7.880344843890368
30-03-2020,13,Region Metropolitana,13114,Las Condes,181,330759,54.72262281600803
30-03-2020,13,Region Metropolitana,13115,Lo Barnechea,68,124076,54.80511944292208
30-03-2020,13,Region Metropolitana,13116,Lo Espejo,4,103865,3.8511529389110866
30-03-2020,13,Region Metropolitana,13117,Lo Prado,14,104403,13.409576353169927
30-03-2020,13,Region Metropolitana,13118,Macul,10,134635,7.427489137297137
30-03-2020,13,Region Metropolitana,13119,Maipú,43,578605,7.431667545216512
30-03-2020,13,Region Metropolitana,13504,María Pinto,0,14926,0.0
30-03-2020,13,Region Metropolitana,13501,Melipilla,6,141612,4.236929073807304
30-03-2020,13,Region Metropolitana,13120,Ñuñoa,67,250192,26.779433395152527
30-03-2020,13,Region Metropolitana,13604,Padre Hurtado,10,74188,13.479268884455706
30-03-2020,13,Region Metropolitana,13404,Paine,3,82766,3.6246767996520313
30-03-2020,13,Region Metropolitana,13121,Pedro Aguirre Cerda,7,107803,6.493325788707179
30-03-2020,13,Region Metropolitana,13605,Peñaflor,10,101058,9.895307645114688
30-03-2020,13,Region Metropolitana,13122,Peñalolén,31,266798,11.619277505828379
30-03-2020,13,Region Metropolitana,13202,Pirque,0,30433,0.0
30-03-2020,13,Region Metropolitana,13123,Providencia,82,157749,51.98131208438723
30-03-2020,13,Region Metropolitana,13124,Pudahuel,17,253139,6.715677947688819
30-03-2020,13,Region Metropolitana,13201,Puente Alto,45,645909,6.966925681481448
30-03-2020,13,Region Metropolitana,13125,Quilicura,17,254694,6.674676278200507
30-03-2020,13,Region Metropolitana,13126,Quinta Normal,21,136368,15.399507215769097
30-03-2020,13,Region Metropolitana,13127,Recoleta,17,190075,8.943837958700513
30-03-2020,13,Region Metropolitana,13128,Renca,9,160847,5.595379459983711
30-03-2020,13,Region Metropolitana,13401,San Bernardo,32,334836,9.556917416287376
30-03-2020,13,Region Metropolitana,13129,San Joaquín,13,103485,12.562207083152149
30-03-2020,13,Region Metropolitana,13203,San José de Maipo,2,18644,10.727311735679038
30-03-2020,13,Region Metropolitana,13130,San Miguel,25,133059,18.788657663141915
30-03-2020,13,Region Metropolitana,13505,San Pedro,0,11953,0.0
30-03-2020,13,Region Metropolitana,13131,San Ramón,1,86510,1.1559357299734134
30-03-2020,13,Region Metropolitana,13101,Santiago,127,503147,25.24113231322059
30-03-2020,13,Region Metropolitana,13601,Talagante,3,81838,3.6657787335956398
30-03-2020,13,Region Metropolitana,13303,Tiltil,2,21477,9.31228756343996
30-03-2020,13,Region Metropolitana,13132,Vitacura,83,96774,85.76683820034306
30-03-2020,6,OHiggins,6302,Chépica,0,15925,0.0
30-03-2020,6,OHiggins,6303,Chimbarongo,0,37696,0.0
30-03-2020,6,OHiggins,6102,Codegua,0,14096,0.0
30-03-2020,6,OHiggins,6103,Coinco,0,7831,0.0
30-03-2020,6,OHiggins,6104,Coltauco,0,21263,0.0
30-03-2020,6,OHiggins,6105,Doñihue,0,22700,0.0
30-03-2020,6,OHiggins,6106,Graneros,0,36504,0.0
30-03-2020,6,OHiggins,6202,La Estrella,0,3114,0.0
30-03-2020,6,OHiggins,6107,Las Cabras,0,26749,0.0
30-03-2020,6,OHiggins,6203,Litueche,0,6765,0.0
30-03-2020,6,OHiggins,6304,Lolol,0,7289,0.0
30-03-2020,6,OHiggins,6108,Machalí,3,59913,5.0072605277652595
30-03-2020,6,OHiggins,6109,Malloa,0,14163,0.0
30-03-2020,6,OHiggins,6204,Marchihue,0,7632,0.0
30-03-2020,6,OHiggins,6110,Mostazal,0,27462,0.0
30-03-2020,6,OHiggins,6305,Nancagua,0,19141,0.0
30-03-2020,6,OHiggins,6205,Navidad,0,6904,0.0
30-03-2020,6,OHiggins,6111,Olivar,0,14624,0.0
30-03-2020,6,OHiggins,6306,Palmilla,0,13299,0.0
30-03-2020,6,OHiggins,6206,Paredones,0,6349,0.0
30-03-2020,6,OHiggins,6307,Peralillo,0,11848,0.0
30-03-2020,6,OHiggins,6112,Peumo,0,14952,0.0
30-03-2020,6,OHiggins,6113,Pichidegua,0,20743,0.0
30-03-2020,6,OHiggins,6201,Pichilemu,0,17882,0.0
30-03-2020,6,OHiggins,6308,Placilla,0,9164,0.0
30-03-2020,6,OHiggins,6309,Pumanque,0,3531,0.0
30-03-2020,6,OHiggins,6114,Quinta de Tilcoco,1,13877,7.206168480219067
30-03-2020,6,OHiggins,6101,Rancagua,7,265211,2.6394078676977952
30-03-2020,6,OHiggins,6115,Rengo,1,63710,1.5696123057604772
30-03-2020,6,OHiggins,6116,Requínoa,2,30371,6.585229330611439
30-03-2020,6,OHiggins,6301,San Fernando,2,78642,2.5431703161160706
30-03-2020,6,OHiggins,6117,San Vicente,0,50617,0.0
30-03-2020,6,OHiggins,6310,Santa Cruz,0,41096,0.0
30-03-2020,7,Maule,7201,Cauquenes,1,44143,2.265364837007
30-03-2020,7,Maule,7202,Chanco,0,9331,0.0
30-03-2020,7,Maule,7402,Colbún,1,22565,4.431641923332594
30-03-2020,7,Maule,7102,Constitución,0,50348,0.0
30-03-2020,7,Maule,7103,Curepto,0,9426,0.0
30-03-2020,7,Maule,7301,Curicó,6,163626,3.666898903597228
30-03-2020,7,Maule,7104,Empedrado,0,4206,0.0
30-03-2020,7,Maule,7302,Hualañé,0,10222,0.0
30-03-2020,7,Maule,7303,Licantén,0,6989,0.0
30-03-2020,7,Maule,7401,Linares,4,101073,3.9575356425553805
30-03-2020,7,Maule,7403,Longaví,1,32810,3.047851264858275
30-03-2020,7,Maule,7105,Maule,2,60000,3.3333333333333335
30-03-2020,7,Maule,7304,Molina,2,49800,4.016064257028113
