id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintoma,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,308,0,0,0,4,0,0,0
1,Tarapacá,295,23,16,7,1,0,0,0
2,Antofagasta,760,20,14,6,7,0,0,0
3,Atacama,70,3,2,1,0,0,0,0
4,Coquimbo,91,3,1,2,0,0,0,0
5,Valparaíso,656,18,18,0,13,0,0,0
13,Metropolitana,13528,872,790,82,143,8,0,0
6,O’Higgins,131,6,6,0,3,0,0,0
7,Maule,399,2,2,0,13,0,0,0
16,Ñuble,787,1,0,1,17,1,0,0
8,Biobío,762,3,3,0,8,1,0,0
9,Araucanía,1331,3,1,2,36,0,0,0
14,Los Ríos,199,1,1,0,4,0,0,0
10,Los Lagos,524,7,5,2,10,0,0,0
11,Aysén,7,0,0,0,0,0,0,0
12,Magallanes,795,18,17,1,11,0,0,0
