id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,5899,51,39,9,85,0,5.083,0
1,Tarapacá,10035,63,32,28,186,0,9.024,0
2,Antofagasta,16970,63,38,20,410,0,15.616,0
3,Atacama,4807,127,64,62,29,0,3.761,0
4,Coquimbo,8435,119,82,36,101,0,7.378,0
5,Valparaíso,20549,111,79,23,617,0,18.486,0
13,RM,267000,339,178,147,8160,0,253.707,0
6,O’Higgins,12300,67,42,19,304,0,11.224,0
7,Maule,10526,74,53,12,230,0,9.514,0
16,Ñuble,4027,30,27,3,73,0,3.683,0
8,Biobío,14363,115,90,23,161,0,12.560,0
9,Araucanía,4705,41,31,10,86,0,4.330,0
14,Los Ríos,1015,2,2,0,15,0,938,0
10,Los Lagos,5653,64,41,22,57,0,4.826,0
11,Aysén,98,0,0,0,1,0,86,0
12,Magallanes,2407,68,48,20,30,0,1.982,0
