ORDEN,REGION,nombre_region,id_region,PROVINCIA,nombre_provincia,id_provincia,COMUNA,id_comuna,edad_rango,hombres,mujeres,total_poblacion,nombre_comuna
0,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,Total País,8601989,8972014,"17,574,003 ",País
1,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,0 a 4,594059,572087,"1,166,146 ",País
2,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,5 a 9,618121,592068,"1,210,189 ",País
3,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,10 a 14,585855,561560,"1,147,415 ",País
4,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,15 a 19,636064,608633,"1,244,697 ",País
5,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,20 a 24,702706,685116,"1,387,822 ",País
6,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,25 a 29,742265,731885,"1,474,150 ",País
7,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,30 a 34,645359,648278,"1,293,637 ",País
8,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,35 a 39,595608,612169,"1,207,777 ",País
9,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,40 a 44,586674,611829,"1,198,503 ",País
10,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,45 a 49,562483,598280,"1,160,763 ",País
11,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,50 a 54,569852,615102,"1,184,954 ",País
12,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,55 a 59,499406,548373,"1,047,779 ",País
13,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,60 a 64,399562,447353,"846,915 ",País
14,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,65 a 69,303259,349743,"653,002 ",País
15,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,70 a 74,232909,283000,"515,909 ",País
16,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,75 a 79,155526,208063,"363,589 ",País
17,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,80 a 84,94996,144450,"239,446 ",País
18,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,85 a 89,53469,98332,"151,801 ",País
19,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,90 a 94,18029,40854,"58,883 ",País
20,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,95 a 99,4188,11668,"15,856 ",País
21,PAÍS,País,PAÍS,PAÍS,País,PAÍS,PAÍS,PAÍS,100 o más,1599,3171,"4,770 ",País
22,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,Total Comunal,109389,111975,"221,364",Arica
23,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,0 a 4,8123,7770,"15,893",Arica
24,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,5 a 9,8697,8347,"17,044",Arica
