nombre_comuna,gran_stgo
Alhué,0
Buin,0
Calera de Tango,0
Cerrillos,1
Cerro Navia,1
Colina,0
Conchalí,1
Curacaví,0
El Bosque,1
El Monte,0
Estación Central,1
Huechuraba,1
Independencia,1
Isla de Maipo,0
La Cisterna,1
La Florida,1
La Granja,1
La Pintana,1
La Reina,1
Lampa,0
Las Condes,1
Lo Barnechea,1
Lo Espejo,1
Lo Prado,1
Macul,1
Maipú,1
Maria Pinto,0
Melipilla,0
Ñuñoa,1
Padre Hurtado,0
Paine,0
Pedro Aguirre Cerda,1
Peñaflor,0
Peñalolén,1
Pirque,0
Providencia,1
Pudahuel,1
Puente Alto,1
Quilicura,1
Quinta Normal,1
Recoleta,1
Renca,1
San Bernardo,1
San Joaquín,1
San Jose de Maipo,0
San Miguel,1
San Pedro,0
San Ramon,1
Santiago,1
Talagante,0
Tiltil,0
Vitacura,1
