Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552,63
Arica y Parinacota,15,Camarones,15102,1233,-
Arica y Parinacota,15,General Lagos,15202,810,-
Arica y Parinacota,15,Putre,15201,2515,-
Tarapaca,01,Alto Hospicio,01107,129999,6
Tarapaca,01,Camina,01402,1375,-
Tarapaca,01,Colchane,01403,1583,-
Tarapaca,01,Huara,01404,3000,-
Tarapaca,01,Iquique,01101,223463,16
Tarapaca,01,Pica,01405,5958,-
Tarapaca,01,Pozo Almonte,01401,17395,-
Antofagasta,02,Antofagasta,02101,425725,60
Antofagasta,02,Calama,02201,190336,8
Antofagasta,02,Maria Elena,02302,6814,-
Antofagasta,02,Mejillones,02102,14776,-
Antofagasta,02,Ollague,02202,287,-
Antofagasta,02,San Pedro de Atacama,02203,10434,4
Antofagasta,02,Sierra Gorda,02103,1746,-
Antofagasta,02,Taltal,02104,13657,-
Antofagasta,02,Tocopilla,02301,28079,-
Atacama,03,Alto del Carmen,03302,5729,-
Atacama,03,Caldera,03102,19426,-
Atacama,03,Chanaral,03201,13164,-
Atacama,03,Copiapo,03101,171766,5
Atacama,03,Diego de Almagro,03202,14358,-
Atacama,03,Freirina,03303,7681,-
Atacama,03,Huasco,03304,11264,-
Atacama,03,Tierra Amarilla,03103,14312,-
Atacama,03,Vallenar,03301,57009,-
Coquimbo,04,Andacollo,04103,11791,-
Coquimbo,04,Canela,04202,9546,-
Coquimbo,04,Combarbala,04302,13884,-
Coquimbo,04,Coquimbo,04102,256735,19
Coquimbo,04,Illapel,04201,32801,12
Coquimbo,04,La Higuera,04104,4450,-
Coquimbo,04,La Serena,04101,249656,12
Coquimbo,04,Los Vilos,04203,23374,-
Coquimbo,04,Monte Patria,04303,32527,-
Coquimbo,04,Ovalle,04301,121269,7
Coquimbo,04,Paiguano,04105,4675,-
Coquimbo,04,Punitaqui,04304,12165,-
Coquimbo,04,Rio Hurtado,04305,4372,-
Coquimbo,04,Salamanca,04204,29110,4
Coquimbo,04,Vicuna,04106,29741,-
Valparaiso,05,Algarrobo,05602,15174,8
Valparaiso,05,Cabildo,05402,20663,-
Valparaiso,05,Calera,05502,53591,9
Valparaiso,05,Calle Larga,05302,16482,-
Valparaiso,05,Cartagena,05603,25357,-
Valparaiso,05,Casablanca,05102,29170,-
Valparaiso,05,Catemu,05702,15213,-
Valparaiso,05,Concon,05103,45889,-
Valparaiso,05,El Quisco,05604,17742,-
Valparaiso,05,El Tabo,05605,14338,-
Valparaiso,05,Hijuelas,05503,19099,-
Valparaiso,05,Isla de Pascua,05201,8277,5
Valparaiso,05,Juan Fernandez,05104,1033,-
Valparaiso,05,La Cruz,05504,25321,-
Valparaiso,05,La Ligua,05401,37739,-
Valparaiso,05,Limache,05802,49931,5
Valparaiso,05,Llaillay,05703,26533,-
Valparaiso,05,Los Andes,05301,68093,6
Valparaiso,05,Nogales,05506,23490,-
Valparaiso,05,Olmue,05803,19266,-
Valparaiso,05,Panquehue,05704,7633,-
Valparaiso,05,Papudo,05403,6201,-
Valparaiso,05,Petorca,05404,10558,4
Valparaiso,05,Puchuncavi,05105,20071,-
Valparaiso,05,Putaendo,05705,17645,-
Valparaiso,05,Quillota,05501,97572,13
Valparaiso,05,Quilpue,05801,167085,15
Valparaiso,05,Quintero,05107,36135,-
Valparaiso,05,Rinconada,05303,11263,-
Valparaiso,05,San Antonio,05601,96761,9
Valparaiso,05,San Esteban,05304,20643,-
Valparaiso,05,San Felipe,05701,83494,6
Valparaiso,05,Santa Maria,05706,16367,-
Valparaiso,05,Santo Domingo,05606,11934,5
Valparaiso,05,Valparaiso,05101,315732,36
Valparaiso,05,Villa Alemana,05804,139310,12
Valparaiso,05,Vina del Mar,05109,361371,66
Valparaiso,05,Zapallar,05405,7994,-
Metropolitana,13,Alhue,13502,7405,-
Metropolitana,13,Buin,13402,109641,20
Metropolitana,13,Calera de Tango,13403,28525,8
Metropolitana,13,Cerrillos,13102,88956,11
Metropolitana,13,Cerro Navia,13103,142465,36
Metropolitana,13,Colina,13301,180353,62
Metropolitana,13,Conchali,13104,139195,38
Metropolitana,13,Curacavi,13503,36430,9
Metropolitana,13,El Bosque,13105,172000,46
Metropolitana,13,El Monte,13602,40014,7
Metropolitana,13,Estacion Central,13106,206792,41
Metropolitana,13,Huechuraba,13107,112528,35
Metropolitana,13,Independencia,13108,142065,31
Metropolitana,13,Isla de Maipo,13603,40171,7
Metropolitana,13,La Cisterna,13109,100434,26
Metropolitana,13,La Florida,13110,402433,103
Metropolitana,13,La Granja,13111,122557,26
Metropolitana,13,La Pintana,13112,189335,25
Metropolitana,13,La Reina,13113,100252,44
Metropolitana,13,Lampa,13302,126898,18
Metropolitana,13,Las Condes,13114,330759,266
Metropolitana,13,Lo Barnechea,13115,124076,105
Metropolitana,13,Lo Espejo,13116,103865,23
Metropolitana,13,Lo Prado,13117,104403,32
Metropolitana,13,Macul,13118,134635,37
Metropolitana,13,Maipu,13119,578605,106
Metropolitana,13,Maria Pinto,13504,14926,-
Metropolitana,13,Melipilla,13501,141612,12
Metropolitana,13,Nunoa,13120,250192,118
Metropolitana,13,Padre Hurtado,13604,74188,18
Metropolitana,13,Paine,13404,82766,-
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,19
Metropolitana,13,Penaflor,13605,101058,18
