id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales,,,,
15,Arica y Parinacota,2,6,0,0,0,0,,,,
1,Tarapaca,2,8,0,0,0,0,,,,
2,Antofagasta,8,35,0,0,0,0,,,,
3,Atacama,0,2,0,0,0,0,,,,
4,Coquimbo,9,27,0,0,0,0,,,,
5,Vaparaiso,28,108,0,0,0,0,,,,
13,Metropolitana,128,1.295,0,3,0,0,,,,
6,Ohiggins,0,21,0,0,0,0,,,,
7,Maule,12,54,0,1,0,0,,,,
16,Nuble,32,229,0,0,0,0,,,,
8,Biobio,16,201,0,2,0,0,,,,
9,Araucania,42,247,0,2,0,0,,,,
14,LosRios,7,47,0,0,0,0,,,,
10,LosLagos,24,128,0,0,0,0,,,,
11,Aysen,0,2,0,0,0,0,,,,
12,Magallanes,0,39,0,0,0,0,,,,
